 ID,Gene.symbol,Gene.title,log2Exp,log2FC
1555499_a_at,IFNLR1,interferon lambda receptor 1,6.454,-1.532
1555510_at,ZNF215,zinc finger protein 215,2.821,-3.192
1555535_at,BPIFB6,BPI fold containing family B member 6,3.611,-2.374
1555545_at,KLK2,kallikrein related peptidase 2,4.52,-2.8
1555551_at,SERPINB5,serpin family B member 5,4.399,-2.747
1555553_a_at,SLC22A7,solute carrier family 22 member 7,3.962,-1.731
1555554_at,BPIFA4P,"BPI fold containing family A member 4, pseudogene",6.019,-1.224
1555555_at,BBS9,Bardet-Biedl syndrome 9,5.115,-1.192
1555562_a_at,ZCCHC7,zinc finger CCHC-type containing 7,6.962,1.682
1555569_a_at,KCTD7///RABGEF1,potassium channel tetramerization domain containing 7///RAB guanine nucleotide exchange factor 1,4.563,-1.457
1555578_at,,,3.51,-4.146
1555579_s_at,PTPRM,"protein tyrosine phosphatase, receptor type M",7.587,-4.272
1555581_a_at,TP63,tumor protein p63,3.583,-2.325
1555586_at,FAM71B,family with sequence similarity 71 member B,4.377,-1.802
1555602_a_at,ELAVL3,ELAV like neuron-specific RNA binding protein 3,0.776,-1.141
1555616_at,,,6.296,-1.72
1555617_x_at,,,6.652,-1.564
1555618_s_at,SAE1,SUMO1 activating enzyme subunit 1,8.001,1.518
1555632_at,PIK3IP1,phosphoinositide-3-kinase interacting protein 1,5.829,-1.279
1555638_a_at,SAMSN1,"SAM domain, SH3 domain and nuclear localization signals 1",4.127,-2.824
1555651_at,OR10A5,olfactory receptor family 10 subfamily A member 5,5.165,-2.084
1555661_at,OR8D1,olfactory receptor family 8 subfamily D member 1,5.311,-1.125
1555675_at,BLID,"BH3-like motif containing, cell death inducer",4.873,-1.281
1555682_at,OTUB2,"OTU deubiquitinase, ubiquitin aldehyde binding 2",4.87,-2.34
1555685_at,H6PD,hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase,4.238,-1.988
1555703_at,ST3GAL3,"ST3 beta-galactoside alpha-2,3-sialyltransferase 3",5.388,-1.729
1555741_at,MRAP,melanocortin 2 receptor accessory protein,5.682,-1.044
1555742_at,ERVH-6,endogenous retrovirus group H member 6,6.908,-3.233
1555753_x_at,ERVH-6,endogenous retrovirus group H member 6,2.514,-2.5
1555755_at,,,3.122,-2.342
1555758_a_at,CDKN3,cyclin dependent kinase inhibitor 3,11.058,1.083
1555763_x_at,MKL1,megakaryoblastic leukemia (translocation) 1,4.978,-1.995
1555772_a_at,CDC25A,cell division cycle 25A,5.483,2.583
1555773_at,BPIFC,BPI fold containing family C,2.575,-1.698
1555780_a_at,RHEB,Ras homolog enriched in brain,11.009,1.245
1555786_s_at,LINC00520,long intergenic non-protein coding RNA 520,7.376,-2.424
1555793_a_at,ZFP82,ZFP82 zinc finger protein,6.519,3.761
1555804_a_at,MAP3K19,mitogen-activated protein kinase kinase kinase 19,1.377,-2.279
1555817_s_at,THSD4,thrombospondin type 1 domain containing 4,2.105,-2.523
1555842_at,CYTH2,cytohesin 2,8.531,-1.787
1555843_at,HNRNPM,heterogeneous nuclear ribonucleoprotein M,7.477,-1.328
1555847_a_at,MIR24-2///MIR23A///LOC284454,microRNA 24-2///microRNA 23a///uncharacterized LOC284454,9.34,-1.821
1555851_s_at,SEPW1,"selenoprotein W, 1",10.664,-1.015
1555858_at,THUMPD3-AS1,THUMPD3 antisense RNA 1,7.199,-1.365
1555860_x_at,THUMPD3-AS1,THUMPD3 antisense RNA 1,7.396,-1.328
1555878_at,RPS24,ribosomal protein S24,9.732,-1.578
1555880_at,ERVFRD-1,endogenous retrovirus group FRD member 1,1.122,-1.436
1555881_s_at,LZTS2,leucine zipper tumor suppressor 2,8.732,-1.312
1555884_at,PSMD6,"proteasome 26S subunit, non-ATPase 6",3.364,-2.363
1555886_at,PDSS2,"prenyl (decaprenyl) diphosphate synthase, subunit 2",7.161,-1.554
1555892_s_at,PSMD5-AS1,PSMD5 antisense RNA 1 (head to head),3.46,2.91
1555893_at,,,5.537,-1.228
1555900_at,DCTN5,dynactin subunit 5,7.737,-1.065
1555929_s_at,,,5.705,-2.442
1555942_a_at,MIR205,microRNA 205,5.692,-6.93
1555960_at,HINT1,histidine triad nucleotide binding protein 1,8.22,-1.899
1555970_at,FBXO28,F-box protein 28,6.674,-2.053
1555991_s_at,C22orf42,chromosome 22 open reading frame 42,4.969,-1.273
1555998_at,ATP5H,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit D",7.509,-1.212
1556006_s_at,CSNK1A1,casein kinase 1 alpha 1,8.601,-1.723
1556007_s_at,CSNK1A1,casein kinase 1 alpha 1,6.665,-1.109
1556015_a_at,MESP2,mesoderm posterior bHLH transcription factor 2,7.57,-1.056
1556019_at,GPR180,G protein-coupled receptor 180,5.184,-1.268
1556030_at,SMTN,smoothelin,5.955,-1.374
1556033_at,LINC01138,long intergenic non-protein coding RNA 1138,7.525,-1.002
1556047_s_at,MAGEE1,MAGE family member E1,7.725,-2.314
1556048_at,LOC100507564,uncharacterized LOC100507564,5.934,-1.135
1556078_at,LOC143286,uncharacterized LOC143286,5.853,-1.055
1556105_at,,,6.458,-1.352
1556111_s_at,,,6.81,-1.418
1556127_at,DIP2A,disco interacting protein 2 homolog A,3.165,-3.381
1556134_a_at,B3GNT5,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5",6.281,-1.385
1556151_at,ITFG1,integrin alpha FG-GAP repeat containing 1,11.287,-1.065
1556156_at,ESRRB,estrogen related receptor beta,2.617,-2.555
1556166_x_at,LOC100505727,uncharacterized LOC100505727,5.405,1.989
1556170_at,LOC101927516,uncharacterized LOC101927516,2.505,-1.833
1556192_x_at,,,3.218,-2.439
1556211_a_at,,,5.018,-3.128
1556213_a_at,BTG3,BTG anti-proliferation factor 3,4.329,-2.157
1556229_at,,,2.386,-1.322
1556240_at,,,5.152,-1.338
1556250_at,,,5.72,-1.318
1556256_a_at,,,4.168,2.615
1556259_at,CADM1,cell adhesion molecule 1,3.132,-1.896
1556262_at,LOC101928818///PWRN1,uncharacterized LOC101928818///Prader-Willi region non-protein coding RNA 1,1.053,-1.594
1556287_a_at,,,0.777,-1.554
1556288_at,SMIM21,small integral membrane protein 21,0.37,-1.422
1556319_at,TRIM44,tripartite motif containing 44,6.241,-1.007
1556332_at,,,5.982,-1.28
1556340_at,MAPK12,mitogen-activated protein kinase 12,3.023,-2.304
1556345_s_at,,,6.266,-1.068
1556352_at,,,5.703,-2.18
1556356_at,ERICH1,glutamate rich 1,5.403,-2.008
1556359_at,C6orf89,chromosome 6 open reading frame 89,4.28,-2.027
1556361_s_at,ANKRD13C,ankyrin repeat domain 13C,6.934,2.535
1556381_at,NAA15,"N(alpha)-acetyltransferase 15, NatA auxiliary subunit",2.199,-2.571
1556385_at,,,9.05,-1.509
1556406_at,LINC00879,long intergenic non-protein coding RNA 879,1.998,-1.258
1556409_a_at,,,6.199,-1.423
1556429_a_at,TBC1D31,TBC1 domain family member 31,6.656,1.716
1556436_at,EXTL3-AS1,EXTL3 antisense RNA 1,6.486,-1.036
1556449_at,TRAPPC12,trafficking protein particle complex 12,3.723,-1.64
1556453_at,LOC100506274,uncharacterized LOC100506274,1.926,-1.561
1556465_at,,,5.523,-1.265
1556480_a_at,,,2.902,-1.291
1556484_at,LRRC52,leucine rich repeat containing 52,6.062,-1.682
1556505_at,LINC00605,long intergenic non-protein coding RNA 605,6.042,-1.433
1556510_at,NFIA-AS2,NFIA antisense RNA 2,2.572,-1.739
1556518_at,DLG1-AS1,DLG1 antisense RNA 1,5.204,-1.259
1556520_at,,,4.767,-1.211
1556540_a_at,,,6.668,-2.12
1556542_a_at,,,5.249,-1.732
1556545_at,,,6.164,-1.687
1556552_a_at,ACSF3,acyl-CoA synthetase family member 3,3.079,-2.291
1556554_at,TRIM50,tripartite motif containing 50,2.52,-1.74
1556564_at,HHIPL1,HHIP like 1,4.077,-2.516
1556581_at,ZNF778,zinc finger protein 778,6.885,-1.207
1556582_at,PVR,poliovirus receptor,8.819,-1.334
1556617_a_at,LINC00901,long intergenic non-protein coding RNA 901,3.132,-1.918
1556636_at,,,5.492,-1.642
1556641_at,SLC7A14,solute carrier family 7 member 14,3.452,-2.463
1556649_at,,,4.496,-2.13
1556669_a_at,,,2.227,-1.412
1556689_a_at,WNT4,Wnt family member 4,2.789,-1.258
1556695_a_at,NR2F1-AS1,NR2F1 antisense RNA 1,5.117,3.309
1556696_s_at,NR2F1-AS1,NR2F1 antisense RNA 1,5.605,2.208
1556727_at,PRCD,progressive rod-cone degeneration,5.799,-1.147
1556730_at,LOC652993,uncharacterized LOC652993,4.885,-1.305
1556743_at,ZNF654,zinc finger protein 654,6.506,-1.501
1556744_a_at,ZNF654,zinc finger protein 654,6.722,-1.931
1556754_at,LINC00856,long intergenic non-protein coding RNA 856,5.542,-1.164
1556769_a_at,LOC105371967,uncharacterized LOC105371967,5.799,2.286
1556773_at,,,6.702,-6.685
1556775_at,,,1.313,-1.534
1556784_at,,,5.217,-1.59
1556787_s_at,PDE5A,phosphodiesterase 5A,4.915,-1.562
1556789_a_at,PAXBP1-AS1,PAXBP1 antisense RNA 1,5.252,-1.047
1556805_at,,,2.943,-1.6
1556812_a_at,,,1.412,-1.778
1556822_s_at,ZNF837,zinc finger protein 837,2.676,-2.328
1556824_at,,,4.385,-1.519
1556835_s_at,DSG2-AS1,DSG2 antisense RNA 1,6.548,-1.177
1556837_a_at,,,1.179,-1.271
1556851_at,,,0.786,-1.432
1556852_a_at,,,6.304,-1.29
1556859_a_at,PHACTR2-AS1,PHACTR2 antisense RNA 1,2.806,-2.242
1556883_a_at,LOC101929800///LOC101927424///LOC440896///PGM5,putative uncharacterized protein FLJ45355///uncharacterized LOC101927424///uncharacterized LOC440896///phosphoglucomutase 5,1.051,-1.254
1556891_at,SORCS1,sortilin related VPS10 domain containing receptor 1,4.713,-1.484
1556895_a_at,NT5DC2,5'-nucleotidase domain containing 2,4.852,-1.599
1556900_at,APCDD1L-AS1,APCDD1L antisense RNA 1 (head to head),6.69,-1.495
1556914_at,LOC100652911,uncharacterized LOC100652911,1.993,-1.366
1556919_at,LEPR,leptin receptor,6.193,-1.534
1556920_s_at,LINC01330,long intergenic non-protein coding RNA 1330,1.317,-2.598
1556941_a_at,LOC283484,uncharacterized LOC283484,3.81,2.604
1556952_at,,,6.644,-1.448
1556959_at,ANHX,anomalous homeobox,6.948,-1.691
1556982_at,,,6.963,-1.056
1556987_s_at,OR2H1,olfactory receptor family 2 subfamily H member 1,3.751,-1.173
1556994_at,,,5.914,-1.195
1557002_x_at,ESPNL,espin-like,2.917,-1.567
1557026_at,LOC101927787,uncharacterized LOC101927787,5.334,-1.402
1557038_s_at,UBAC2-AS1,UBAC2 antisense RNA 1,6.233,-1.442
1557050_at,HOTAIRM1,"HOXA transcript antisense RNA, myeloid-specific 1",4.682,-3.742
1557051_s_at,HOTAIRM1,"HOXA transcript antisense RNA, myeloid-specific 1",6.932,-3.912
1557056_at,C5orf47,chromosome 5 open reading frame 47,4.953,-1.76
1557057_a_at,C5orf47,chromosome 5 open reading frame 47,2.014,-2.485
1557060_at,OVAAL,ovarian adenocarcinoma amplified long non-coding RNA,4.036,-2.177
1557068_at,LOC100505782,uncharacterized LOC100505782,1.12,-1.672
1557085_at,OOSP2,oocyte secreted protein 2,3.262,-2.314
1557089_at,KIF5C,kinesin family member 5C,5.15,-1.817
1557094_at,LOC100996760,uncharacterized LOC100996760,6.255,-5.758
1557105_a_at,ZSCAN30,zinc finger and SCAN domain containing 30,4.321,-2.234
1557114_a_at,ZNF561-AS1,ZNF561 antisense RNA 1 (head to head),6.335,-1.79
1557118_a_at,INTS6-AS1,INTS6 antisense RNA 1,6.102,-1.979
1557155_a_at,,,5.692,4.042
1557190_at,,,5.729,-1.486
1557194_a_at,RAD54L2,RAD54-like 2 (S. cerevisiae),6.585,-1.077
1557207_s_at,LOC283177,uncharacterized LOC283177,6.112,-1.453
1557244_a_at,,,4.472,-1.552
1557265_at,,,7.198,-1.043
1557274_at,,,4.74,-1.828
1557279_at,ITSN1,intersectin 1,6.253,-1.255
1557315_a_at,,,5.366,-1.693
1557321_a_at,CAPN14,calpain 14,4.712,-1.258
1557335_at,,,1.674,-1.265
1557347_at,MCPH1,microcephalin 1,6.367,-1.663
1557352_at,SQLE,squalene epoxidase,5.748,-1.77
1557362_at,PHIP,pleckstrin homology domain interacting protein,1.607,-1.217
1557369_a_at,LINC00698,long intergenic non-protein coding RNA 698,5.769,-1.204
1557373_at,LINC01141,long intergenic non-protein coding RNA 1141,5.751,-1.176
1557383_a_at,,,7.371,-1.253
1557388_at,RTTN,rotatin,6.192,-1.02
1557389_at,SH3PXD2A-AS1,SH3PXD2A antisense RNA 1,4.946,-3.027
1557413_a_at,,,2.988,-1.3
1557452_at,,,5.652,-1.643
1557457_at,,,2.689,-1.94
1557463_at,,,4.068,-2.06
1557470_at,SPATA13,spermatogenesis associated 13,2.234,-1.906
1557480_a_at,PPP1R27,protein phosphatase 1 regulatory subunit 27,6.717,-1.015
1557506_a_at,,,4.988,-1.776
1557517_a_at,,,4.571,-2.313
1557521_a_at,,,7.665,-2.065
1557522_x_at,,,8.229,-1.949
1557523_at,ATP6AP1L,ATPase H+ transporting accessory protein 1 like,5.363,-1.377
1557534_at,LOC339862,uncharacterized LOC339862,0.789,-1.259
1557535_at,PALLD,"palladin, cytoskeletal associated protein",3.977,-2.801
1557536_at,WNK2,WNK lysine deficient protein kinase 2,3.756,-1.13
1557544_at,CFAP58,cilia and flagella associated protein 58,4.357,-2.623
1557560_at,DSE,dermatan sulfate epimerase,2.479,-1.755
1557589_a_at,,,6.16,-1.22
1557604_at,LOC401312,uncharacterized LOC401312,1.049,-1.692
1557605_a_at,LOC401312,uncharacterized LOC401312,6.441,-1.421
1557613_at,KIF9-AS1,KIF9 antisense RNA 1,6.219,-1.274
1557621_at,KCP,kielin/chordin-like protein,1.907,-1.076
1557624_at,,,5.079,1.326
1557628_s_at,LOC283745,uncharacterized LOC283745,4.537,-1.942
1557632_at,,,4.646,-2.053
1557636_a_at,C7orf57,chromosome 7 open reading frame 57,3.556,-4.105
1557647_a_at,VWA8-AS1,VWA8 antisense RNA 1 (head to head),3.362,-1.957
1557652_a_at,CCDC13-AS1,CCDC13 antisense RNA 1,5.774,-1.284
1557658_at,,,2.853,-1.148
1557667_at,,,7.112,-1.522
1557677_a_at,TRIML1,tripartite motif family like 1,2.345,-1.966
1557679_at,ERICH1-AS1,ERICH1 antisense RNA 1,3.794,-2.447
1557685_at,ASAP1-IT2,ASAP1 intronic transcript 2,5.599,-1.78
1557701_s_at,POLH,DNA polymerase eta,3.576,2.074
1557707_at,,,1.475,-2.049
1557710_at,,,1.721,-1.71
1557713_at,,,2.15,-1.009
1557719_at,PIKFYVE,"phosphoinositide kinase, FYVE-type zinc finger containing",1.833,-1.343
1557723_at,LOC285847,uncharacterized LOC285847,3.854,-1.878
1557726_at,ARMCX4,"armadillo repeat containing, X-linked 4",4.628,-1.24
1557731_at,LOC400620,uncharacterized LOC400620,3.36,-1.503
1557744_at,,,5.95,-1.141
1557761_s_at,LOC400794,uncharacterized LOC400794,4.406,-2.077
1557762_at,LOC105377458,uncharacterized LOC105377458,0.345,-1.395
1557771_at,FHAD1,forkhead associated phosphopeptide binding domain 1,4.761,-1.433
1557779_at,LINC01468,long intergenic non-protein coding RNA 1468,4.44,-4.948
1557782_s_at,C21orf62-AS1,C21orf62 antisense RNA 1,5.665,-1.502
1557783_at,MAP3K14-AS1,MAP3K14 antisense RNA 1,4.732,-1.406
1557789_at,,,5.661,-1.279
1557790_at,JRKL,JRK-like,5.739,-1.119
1557807_a_at,,,2.83,-1.786
1557811_a_at,,,4.063,-1.644
1557813_at,,,8.091,-1.337
1557827_at,DNAJC9-AS1,DNAJC9 antisense RNA 1,6.768,-1.07
1557829_at,,,2.3,-1.539
1557837_a_at,ELMOD2,ELMO domain containing 2,1.419,-1.329
1557867_s_at,CFAP157,cilia and flagella associated protein 157,4.443,-2.373
1557875_at,CASC17,cancer susceptibility candidate 17 (non-protein coding),5.549,-1.161
1557878_at,LOC101930370,uncharacterized LOC101930370,5.792,-1.594
1557879_at,LOC100129175,uncharacterized LOC100129175,5.25,-1.373
1557882_at,,,2.525,-1.9
1557888_at,ZNF787,zinc finger protein 787,2.323,-1.099
1557892_at,LINC01056,long intergenic non-protein coding RNA 1056,1.787,-1.242
1557897_at,LOC105374690,uncharacterized LOC105374690,5.247,-2.71
1557900_at,SIM2,single-minded family bHLH transcription factor 2,2.641,-1.4
1557910_at,HSP90AB1,heat shock protein 90 alpha family class B member 1,8.215,7.074
1557963_at,CDC42BPB,CDC42 binding protein kinase beta,3.576,-2.031
1557984_s_at,RPAP3,RNA polymerase II associated protein 3,6.853,2.464
1557991_at,METTL6,methyltransferase like 6,1.503,-1.23
1558077_s_at,MDH1B,malate dehydrogenase 1B,5.777,1.633
1558119_at,TSPAN17,tetraspanin 17,3.526,-2.446
1558140_at,PLXNA1,plexin A1,2.098,-1.6
1558152_at,LOC100131262,uncharacterized LOC100131262,8.354,-2.465
1558163_at,PEX13,peroxisomal biogenesis factor 13,6.091,1.77
1558164_s_at,PEX13,peroxisomal biogenesis factor 13,6.712,2.724
1558166_at,MGC16275,uncharacterized protein MGC16275,5.644,-1.123
1558170_at,,,3.974,2.487
1558185_at,LOC100507616///CLLU1,uncharacterized LOC100507616///chronic lymphocytic leukemia up-regulated 1,1.562,-1.822
1558210_at,SRC,"SRC proto-oncogene, non-receptor tyrosine kinase",1.534,-1.324
1558211_s_at,SRC,"SRC proto-oncogene, non-receptor tyrosine kinase",5.593,-1.395
1558212_at,LOC101930053///LOC101930048///VLDLR-AS1,uncharacterized LOC101930053///uncharacterized LOC101930048///VLDLR antisense RNA 1,7.001,-1.408
1558225_at,GABRB1,gamma-aminobutyric acid type A receptor beta1 subunit,3.035,-2.731
1558230_at,SF3B2,splicing factor 3b subunit 2,6.891,-1.358
1558237_x_at,DR1,down-regulator of transcription 1,7.115,-1.288
1558249_s_at,STX16,syntaxin 16,6.347,-2.043
1558275_at,,,6.122,-1.066
1558299_at,,,3.481,-1.135
1558320_at,LOC100996549,uncharacterized LOC100996549,2.912,-1.129
1558337_at,,,2.009,-1.231
1558346_at,COX17,"COX17, cytochrome c oxidase copper chaperone",5.929,-2.01
1558348_at,DET1,de-etiolated homolog 1 (Arabidopsis),5.153,-1.093
1558371_a_at,ERICH1,glutamate rich 1,5.369,-2.356
1558393_at,KRT7,keratin 7,6.559,-1.814
1558398_at,ANKRD24,ankyrin repeat domain 24,3.106,-2.698
1558414_at,FRRS1L,ferric chelate reductase 1 like,6.049,-1.088
1558447_at,,,4.56,-2.668
1558448_a_at,,,5.515,-1.647
1558458_at,LOC101928623///LOC401320,uncharacterized LOC101928623///uncharacterized LOC401320,4.909,-1.58
1558459_s_at,LOC101928623///LOC401320,uncharacterized LOC101928623///uncharacterized LOC401320,6.774,-1.794
1558467_a_at,UGGT2,UDP-glucose glycoprotein glucosyltransferase 2,7.162,-1.898
1558487_a_at,TMED4,transmembrane p24 trafficking protein 4,8.619,-1.16
1558493_at,CST13P,"cystatin 13, pseudogene",2.834,-1.285
1558496_at,LOC100505609,uncharacterized LOC100505609,4.576,-2.135
1558497_a_at,LOC100505609,uncharacterized LOC100505609,3.765,-1.793
1558504_at,GTF2IP12,general transcription factor IIi pseudogene 12,4.182,-2.373
1558507_at,C1orf53,chromosome 1 open reading frame 53,4.959,3.027
1558508_a_at,C1orf53,chromosome 1 open reading frame 53,7.935,1.31
1558540_s_at,SLC2A11,solute carrier family 2 member 11,4.942,2.098
1558541_at,LOC101927137///KIAA1456,uncharacterized LOC101927137///KIAA1456,3.878,-2.393
1558549_s_at,VNN1,vanin 1,5.352,-3.228
1558571_at,LOC101927377,uncharacterized LOC101927377,1.825,-1.941
1558584_at,UBL4B,ubiquitin like 4B,3.107,-1.117
1558588_at,LOC100996741///LINC00869,uncharacterized LOC100996741///long intergenic non-protein coding RNA 869,5.053,1.266
1558604_a_at,SSBP2,single stranded DNA binding protein 2,5.194,-1.709
1558619_at,SNORA17B,"small nucleolar RNA, H/ACA box 17B",3.871,-1.62
1558687_a_at,FOXN1,forkhead box N1,3.504,-2.392
1558700_s_at,ZNF260,zinc finger protein 260,9.672,1.211
1558705_at,ATOH8,atonal bHLH transcription factor 8,6.118,-1.447
1558711_at,FAM13A-AS1,FAM13A antisense RNA 1,5.973,-3.581
1558722_at,ZNF252P,"zinc finger protein 252, pseudogene",5.61,-1.603
1558732_at,MAP4K4,mitogen-activated protein kinase kinase kinase kinase 4,6.95,-1.647
1558773_s_at,RANBP10,RAN binding protein 10,1.042,-1.148
1558795_at,LOC101928307,uncharacterized LOC101928307,4.785,1.876
1558814_s_at,TMED5,transmembrane p24 trafficking protein 5,2.417,-1.476
1558832_at,SLC2A1-AS1,SLC2A1 antisense RNA 1,3.957,-1.351
1558846_at,PNLIPRP3,pancreatic lipase related protein 3,4.73,-8.068
1558855_at,FARP2,"FERM, ARH/RhoGEF and pleckstrin domain protein 2",6.308,-1.007
1558856_at,DMRTA2,DMRT like family A2,5.464,-3.112
1558859_at,LOC101928623///LOC401320,uncharacterized LOC101928623///uncharacterized LOC401320,5.094,-1.459
1558862_at,,,4.323,-1.17
1558869_at,,,2.894,-2.604
1558874_a_at,,,3.625,-2.403
1558885_at,,,5.514,-1.07
1558889_at,,,2.332,-1.255
1558896_at,IBA57,"IBA57 homolog, iron-sulfur cluster assembly",5.093,-1.064
1558897_at,PLK5,polo like kinase 5,3.237,-1.405
1558906_a_at,OSER1-AS1,OSER1 antisense RNA 1 (head to head),4.891,2.188
1558950_at,,,4.704,-1.67
1558964_at,FAT3,FAT atypical cadherin 3,2.775,-2.359
1558983_at,LRRC41,leucine rich repeat containing 41,4.346,-1.093
1559017_at,LOC100507351,uncharacterized LOC100507351,2.719,-1.341
1559018_at,PTPRE,"protein tyrosine phosphatase, receptor type E",4.284,-2.415
1559021_at,C3orf52,chromosome 3 open reading frame 52,6.148,-2.277
1559023_a_at,EFCAB14,EF-hand calcium binding domain 14,6.834,-1.361
1559031_at,EXOSC10,exosome component 10,4.595,-1.469
1559033_at,LINC01018,long intergenic non-protein coding RNA 1018,6.246,-1.178
1559034_at,SIRPB2,signal regulatory protein beta 2,3.651,-2.031
1559042_at,NDUFB6,NADH:ubiquinone oxidoreductase subunit B6,5.795,-1.256
1559044_at,EXOSC1,exosome component 1,1.458,-2.375
1559051_s_at,MB21D1,Mab-21 domain containing 1,5.263,2.873
1559093_at,LINC01530,long intergenic non-protein coding RNA 1530,5.017,-1.652
1559102_at,LOC105377371,uncharacterized LOC105377371,5.802,-1.18
1559110_at,,,2.693,-1.627
1559169_at,,,5.509,-1.003
1559170_at,ANKRD20A5P,"ankyrin repeat domain 20 family member A5, pseudogene",5.65,2.388
1559194_a_at,CLEC4GP1,C-type lectin domain family 4 member G pseudogene 1,6.288,-1.119
1559203_s_at,KRAS,"KRAS proto-oncogene, GTPase",4.388,4.417
1559218_s_at,NFYC,nuclear transcription factor Y subunit gamma,4.785,-2.72
1559244_at,FMN2,formin 2,1.195,-1.643
